date,team,points,mp
3/2/2013,Manchester Utd,68,27
3/2/2013,Manchester City,56,27
3/2/2013,Tottenham,51,27
3/2/2013,Chelsea,49,27
3/2/2013,Arsenal,47,27
3/2/2013,Everton,42,27
3/2/2013,West Brom,40,27
3/2/2013,Liverpool,39,27
3/2/2013,Swansea City,37,27
3/2/2013,Stoke City,33,27
3/2/2013,Fulham,32,27
3/2/2013,Norwich City,32,27
3/2/2013,Newcastle Utd,30,27
3/2/2013,West Ham,30,27
3/2/2013,Sunderland,29,27
3/2/2013,Southampton,27,27
3/2/2013,Wigan Athletic,24,27
3/2/2013,Aston Villa,24,27
3/2/2013,Reading,23,27
3/2/2013,QPR,17,27
3/3/2013,Manchester Utd,71,28
3/3/2013,Manchester City,56,27
3/3/2013,Chelsea,52,28
3/3/2013,Tottenham,51,27
3/3/2013,Arsenal,47,27
3/3/2013,Everton,45,28
3/3/2013,Liverpool,42,28
3/3/2013,Swansea City,40,28
3/3/2013,West Brom,40,28
3/3/2013,Fulham,33,28
3/3/2013,Stoke City,33,28
3/3/2013,West Ham,33,28
3/3/2013,Norwich City,32,28
3/3/2013,Sunderland,30,28
3/3/2013,Newcastle Utd,30,28
3/3/2013,Southampton,27,28
3/3/2013,Wigan Athletic,24,28
3/3/2013,Aston Villa,24,27
3/3/2013,Reading,23,28
3/3/2013,QPR,20,28
3/4/2013,Manchester Utd,71,28
3/4/2013,Manchester City,56,27
3/4/2013,Tottenham,54,28
3/4/2013,Chelsea,52,28
3/4/2013,Arsenal,47,28
3/4/2013,Everton,45,28
3/4/2013,Liverpool,42,28
3/4/2013,Swansea City,40,28
3/4/2013,West Brom,40,28
3/4/2013,Fulham,33,28
3/4/2013,Stoke City,33,28
3/4/2013,West Ham,33,28
3/4/2013,Norwich City,32,28
3/4/2013,Sunderland,30,28
3/4/2013,Newcastle Utd,30,28
3/4/2013,Southampton,27,28
3/4/2013,Wigan Athletic,24,28
3/4/2013,Aston Villa,24,27
3/4/2013,Reading,23,28
3/4/2013,QPR,20,28
3/9/2013,Manchester Utd,71,28
3/9/2013,Manchester City,59,28
3/9/2013,Tottenham,54,28
3/9/2013,Chelsea,52,28
3/9/2013,Arsenal,47,28
3/9/2013,Everton,45,28
3/9/2013,Liverpool,42,28
3/9/2013,Swansea City,40,28
3/9/2013,West Brom,40,28
3/9/2013,Fulham,33,28
3/9/2013,Stoke City,33,28
3/9/2013,West Ham,33,28
3/9/2013,Norwich City,32,28
3/9/2013,Sunderland,30,28
3/9/2013,Newcastle Utd,30,28
3/9/2013,Southampton,27,28
3/9/2013,Wigan Athletic,24,28
3/9/2013,Aston Villa,24,28
3/9/2013,Reading,23,28
3/9/2013,QPR,20,28
3/10/2013,Manchester Utd,71,28
3/10/2013,Manchester City,59,28
3/10/2013,Tottenham,54,28
3/10/2013,Chelsea,52,28
3/10/2013,Arsenal,47,28
3/10/2013,Everton,45,28
3/10/2013,West Brom,43,29
3/10/2013,Liverpool,42,28
3/10/2013,Swansea City,40,29
3/10/2013,Fulham,33,28
3/10/2013,Stoke City,33,28
3/10/2013,West Ham,33,28
3/10/2013,Norwich City,33,29
3/10/2013,Sunderland,30,29
3/10/2013,Newcastle Utd,30,28
3/10/2013,Southampton,28,29
3/10/2013,Aston Villa,27,29
3/10/2013,Wigan Athletic,24,28
3/10/2013,Reading,23,29
3/10/2013,QPR,23,29
3/16/2013,Manchester Utd,71,28
3/16/2013,Manchester City,59,28
3/16/2013,Tottenham,54,29
3/16/2013,Chelsea,52,28
3/16/2013,Arsenal,47,28
3/16/2013,Liverpool,45,29
3/16/2013,Everton,45,28
3/16/2013,West Brom,43,29
3/16/2013,Swansea City,40,29
3/16/2013,Fulham,33,28
3/16/2013,Stoke City,33,29
3/16/2013,West Ham,33,28
3/16/2013,Newcastle Utd,33,29
3/16/2013,Norwich City,33,29
